"","scrubbed_species_binomial","trait_name","trait_value","unit","method","latitude","longitude","elevation_m","url_source","project_pi","project_pi_contact","access","id"
"29","Pausandra trianae","whole plant growth form","tree",NA,NA,-12.4159,-69.3269,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13466184
"30","Vismia baccifera","whole plant height","0","m",NA,10.4329,-83.9864,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",14080530
"31","Trema micrantha","seed mass","2.22","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org ","public",434094
"32","Hieronyma alchorneoides","diameter at breast height (1.3 m)","49.3","cm",NA,9.15660995990038,-79.7443857416511,NA,NA,NA,NA,"public",25032401
"33","Laetia procera","diameter at breast height (1.3 m)","0","cm",NA,10.3904,-84.1286,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",2495932
"34","Trema micrantha","whole plant height","6.7056","m",NA,17.711388,-64.722668,NA,NA,"Greg Reams",NA,"public",3365569
"35","Trema micrantha","whole plant height","4.2672","m",NA,17.734986,-64.622937,NA,NA,"Greg Reams",NA,"public",3779573
"36","Trema micrantha","whole plant height","3.9624","m",NA,17.776841,-64.78091,NA,NA,"Greg Reams",NA,"public",3888051
"37","Guarea kunthiana","diameter at breast height (1.3 m)","8","cm",NA,-24.1333,-55.5333,NA,NA,"James S. MIller",NA,"public",4633034
"38","Laetia procera","diameter at breast height (1.3 m)","0","cm",NA,10.4551,-84.0645,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",4633890
"39","Guarea kunthiana","diameter at breast height (1.3 m)","47","cm",NA,-4.53333,-79.7333,NA,NA,"James S. MIller",NA,"public",5426568
"40","Pausandra trianae","diameter at breast height (1.3 m)","9.5","cm",NA,-12.1315,-69.1061,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",7113238
"41","Pausandra trianae","diameter at breast height (1.3 m)","247","cm",NA,-3.43367,-72.8446,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",7565903
"42","Pausandra trianae","diameter at breast height (1.3 m)","7.7","cm",NA,-12.1315,-69.1061,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",12899208
"43","Guarea kunthiana","diameter at breast height (1.3 m)","3","cm",NA,-13.6667,-68.2,NA,NA,"Saara J. DeWalt","sdewalt@rice.edu","public",13063232
"44","Hieronyma alchorneoides","whole plant growth form","tree",NA,NA,10.4329,-83.9864,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",13287982
"45","Croton schiedeanus","whole plant growth form","tree",NA,NA,13.35,-81.3667,NA,NA,"James S. MIller",NA,"public",13297476
"46","Hieronyma alchorneoides","whole plant growth form","tree",NA,NA,-12.5389,-69.4257,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13424317
"47","Guarea kunthiana","whole plant growth form","tree",NA,NA,0.833333,-78.2167,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","public",13440261
"48","Laetia procera","whole plant height","0","m",NA,10.3904,-84.1286,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",14211470
"49","Avicennia germinans","diameter at breast height (1.3 m)","19.812","cm",NA,18.447325,-65.964736,NA,NA,"Greg Reams",NA,"public",17422284
"50","Guarea kunthiana","diameter at breast height (1.3 m)","5005","cm",NA,8.709540367,-80.08450317,NA,NA,"Richard Condit",NA,"public",24454712
"51","Croton schiedeanus","diameter at breast height (1.3 m)","15.2","cm",NA,10.3167444509383,-84.0472511645842,NA,NA,"VG-VB-9",NA,"public",24396326
"52","Trema micrantha","whole plant height","5.4864","m",NA,17.711388,-64.722668,NA,NA,"Greg Reams",NA,"public",3162441
"53","Avicennia germinans","whole plant height","5.4864","m",NA,18.447325,-65.964736,NA,NA,"Greg Reams",NA,"public",3292680
"54","Guarea kunthiana","diameter at breast height (1.3 m)","2.5","cm",NA,-11.85,-71.3167,NA,NA,"James S. MIller",NA,"public",4632957
"55","Laetia procera","diameter at breast height (1.3 m)","17.1","cm",NA,10.4551,-84.0645,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",4633889
"56","Croton schiedeanus","diameter at breast height (1.3 m)","2.5","cm",NA,12.3,-85.4,NA,NA,"James S. MIller",NA,"public",5750537
"57","Croton schiedeanus","diameter at breast height (1.3 m)","2.5","cm",NA,4.91667,-74.8333,NA,NA,"James S. MIller",NA,"public",6324786
"58","Trema micrantha","whole plant height","5.1816","m",NA,17.741739,-64.754405,NA,NA,"Greg Reams",NA,"public",7780487
"59","Guarea kunthiana","whole plant growth form","tree",NA,NA,-3.51667,-73.0667,NA,NA,"James S. MIller",NA,"public",13304957
"60","Avicennia germinans","diameter at breast height (1.3 m)","4.572","cm",NA,26.853414,-82.164808,NA,NA,"Greg Reams",NA,"public",10662777
"61","Avicennia germinans","diameter at breast height (1.3 m)","21.336","cm",NA,26.889832,-82.084046,NA,NA,"Greg Reams",NA,"public",11045448
"62","Laetia procera","diameter at breast height (1.3 m)","23.5","cm",NA,10.4115,-84.0314,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",13213022
"63","Pausandra trianae","whole plant growth form","tree",NA,NA,-12.31,-69.268,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13248882
"64","Guarea kunthiana","whole plant growth form","tree",NA,NA,-12.5622,-68.7177,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13378393
"65","Laetia procera","whole plant growth form","tree",NA,NA,10.4054,-84.102,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",13412427
"66","Croton schiedeanus","whole plant growth form","tree",NA,NA,12.3,-85.4,NA,NA,"James S. MIller",NA,"public",13423638
"67","Croton schiedeanus","whole plant height","0","m",NA,10.4565,-84.0681,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",14028510
"68","Trema micrantha","whole plant height","4.2672","m",NA,17.741739,-64.754405,NA,NA,"Greg Reams",NA,"public",18854285
"69","Trema micrantha","whole plant height","6.7056","m",NA,17.711388,-64.722668,NA,NA,"Greg Reams",NA,"public",21357223
"70","Avicennia germinans","diameter at breast height (1.3 m)","13.97","cm",NA,18.447325,-65.964736,NA,NA,"Greg Reams",NA,"public",23269071
"71","Avicennia germinans","diameter at breast height (1.3 m)","2.794","cm",NA,27.559864,-82.616093,NA,NA,"Greg Reams",NA,"public",25282453
"72","Laetia procera","diameter at breast height (1.3 m)","21.5","cm",NA,-1.72963,-51.48499,NA,NA,"VG-CAX-1",NA,"public",17673451
"73","Laetia procera","diameter at breast height (1.3 m)","13","cm",NA,10.4027559881931,-84.0379228128186,NA,NA,"VG-VB-9",NA,"public",10428798
"74","Croton schiedeanus","diameter at breast height (1.3 m)","16.5","cm",NA,10.3167990393968,-84.0472917253967,NA,NA,"VG-VB-9",NA,"public",24393503
"75","Pausandra trianae","diameter at breast height (1.3 m)","13.7","cm",NA,-12.1121,-69.1378,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",3730897
"76","Trema micrantha","whole plant height","3.9624","m",NA,17.750048,-64.833531,NA,NA,"Greg Reams",NA,"public",4317900
"77","Pausandra trianae","diameter at breast height (1.3 m)","4.2","cm",NA,-12.0411,-69.1056,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",5194656
"78","Pausandra trianae","diameter at breast height (1.3 m)","6","cm",NA,-12.3393,-69.2528,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",7113415
"79","Hasseltia floribunda","diameter at breast height (1.3 m)","11.8999996185303","cm",NA,-15.25,-67,NA,NA,"Tim Killeen",NA,"public",11313072
"80","Laetia procera","diameter at breast height (1.3 m)","21.4","cm",NA,10.4115,-84.0314,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",9601108
"81","Laetia procera","diameter at breast height (1.3 m)","12.1","cm",NA,10.4143,-84.1045,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",12158681
"82","Laetia procera","diameter at breast height (1.3 m)","0","cm",NA,10.4565,-84.0681,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",13022464
"83","Laetia procera","diameter at breast height (1.3 m)","57.8","cm",NA,-12.605,-69.0165,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13035468
"84","Laetia procera","whole plant growth form","tree",NA,NA,10.4568,-84.0631,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",13275078
"85","Guarea kunthiana","whole plant growth form","tree",NA,NA,0.883333,-78.1667,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","public",13295645
"86","Croton schiedeanus","whole plant growth form","tree",NA,NA,12.3,-85.4,NA,NA,"James S. MIller",NA,"public",13297421
"87","Pausandra trianae","whole plant growth form","tree",NA,NA,-12.3627,-69.2844,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13325327
"88","Pausandra trianae","whole plant growth form","tree",NA,NA,-12.4159,-69.3269,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13387401
"89","Croton schiedeanus","whole plant growth form","tree",NA,NA,13.35,-81.3667,NA,NA,"James S. MIller",NA,"public",13405158
"90","Vismia baccifera","whole plant growth form","tree",NA,NA,10.4263,-83.9958,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",13421413
"91","Croton schiedeanus","whole plant growth form","tree",NA,NA,10.4565,-84.0681,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",13443683
"92","Pausandra trianae","whole plant growth form","tree",NA,NA,-12.3973,-69.3264,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13457341
"93","Vismia baccifera","whole plant height","0","m",NA,10.432,-84.0348,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",13556185
"94","Hasseltia floribunda","whole plant height","20","m",NA,-15.25,-67,NA,NA,"Tim Killeen",NA,"public",13652493
"95","Croton schiedeanus","whole plant height","0","m",NA,10.4565,-84.0681,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",13810901
"96","Croton schiedeanus","whole plant height","0","m",NA,10.4565,-84.0681,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",14027103
"97","Trema micrantha","diameter at breast height (1.3 m)","7.62","cm",NA,17.750048,-64.833531,NA,NA,"Greg Reams",NA,"public",16107604
"98","Avicennia germinans","diameter at breast height (1.3 m)","13.716","cm",NA,25.927003,-81.588437,NA,NA,"Greg Reams",NA,"public",23545280
"99","Laetia procera","diameter at breast height (1.3 m)","5000.5","cm",NA,9.151249886,-79.8553009,NA,NA,"Richard Condit",NA,"public",24666477
"100","Croton schiedeanus","diameter at breast height (1.3 m)","18.9","cm",NA,10.3162495055664,-84.0473711814107,NA,NA,"VG-VB-9",NA,"public",24259145
"101","Laetia procera","Leaf lamina fracture toughness","421.7","J.m-2","lamina fracture toughness is the work to fracture leaf tissue divided by fracture area (lamina thickness * length of fracture). Species means of the individual means of two leaves per individual.",9.166667,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.8525","Westbrook JW","jwestbrook@ufl.edu","public",15856019
"102","Hieronyma alchorneoides","whole plant woodiness","woody",NA,NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.63q27.2","Zanne AE","aezanne@gmail.com","public",15745828
"103","Avicennia germinans","diameter at breast height (1.3 m)","14.478","cm",NA,26.889832,-82.084046,NA,NA,"Greg Reams",NA,"public",1977332
"104","Pausandra trianae","diameter at breast height (1.3 m)","2.8","cm",NA,-12.3393,-69.2528,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",7000812
"105","Guarea kunthiana","diameter at breast height (1.3 m)","2.5","cm",NA,-3.43333,-72.85,NA,NA,"James S. MIller",NA,"public",2830397
"106","Pausandra trianae","diameter at breast height (1.3 m)","9.4","cm",NA,-12.3627,-69.2844,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",5648314
"107","Laetia procera","diameter at breast height (1.3 m)","2.6","cm",NA,10.399,-84.0995,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",3621690
"108","Laetia procera","diameter at breast height (1.3 m)","10.3","cm",NA,-14.3856,-61.1478,NA,NA,"Tim Killeen",NA,"public",8246316
"109","Croton schiedeanus","diameter at breast height (1.3 m)","3.3","cm",NA,10.4565,-84.0681,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",6438147
"110","Pausandra trianae","diameter at breast height (1.3 m)","6.5","cm",NA,-12.492,-69.4084,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",7113387
"111","Vismia baccifera","diameter at breast height (1.3 m)","6.8","cm",NA,10.432,-84.0348,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",11594665
"112","Gordonia fruticosa","diameter at breast height (1.3 m)","15","cm",NA,11.113,-74.031,NA,NA,"James S. MIller",NA,"public",11687430
"113","Croton schiedeanus","diameter at breast height (1.3 m)","0","cm",NA,10.4015,-84.112,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",12954288
"114","Laetia procera","whole plant growth form","tree",NA,NA,10.4143,-84.1045,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",13316975
"115","Hasseltia floribunda","whole plant growth form","tree",NA,NA,-15.25,-67,NA,NA,"Tim Killeen",NA,"public",13320251
"116","Laetia procera","whole plant growth form","tree",NA,NA,10.4054,-84.1211,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",13344258
"117","Hasseltia floribunda","whole plant growth form","tree",NA,NA,-15.25,-67,NA,NA,"Tim Killeen",NA,"public",13412036
"118","Avicennia germinans","diameter at breast height (1.3 m)","16.256","cm",NA,18.447325,-65.964736,NA,NA,"Greg Reams",NA,"public",18160881
"119","Avicennia germinans","whole plant height","0.6096","m",NA,18.229498,-66.159479,NA,NA,"Greg Reams",NA,"public",20013821
"120","Trema micrantha","whole plant height","3.9624","m",NA,17.746033,-64.643715,NA,NA,"Greg Reams",NA,"public",21357221
"121","Croton schiedeanus","diameter at breast height (1.3 m)","15.3","cm",NA,10.3167444509383,-84.0472511645842,NA,NA,"VG-VB-9",NA,"public",24222418
"122","Croton schiedeanus","maximum leaf length","10","cm",NA,NA,NA,NA,NA,NA,NA,"public",1729100
"123","Avicennia germinans","diameter at breast height (1.3 m)","17.526","cm",NA,18.447325,-65.964736,NA,NA,"Greg Reams",NA,"public",3065652
"124","Vismia baccifera","diameter at breast height (1.3 m)","11.4","cm",NA,10.432,-84.0348,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",4523460
"125","Vismia baccifera","diameter at breast height (1.3 m)","2.6","cm",NA,10.4329,-83.9864,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",10053676
"126","Guarea kunthiana","diameter at breast height (1.3 m)","5.4","cm",NA,-12.3636,-68.7996,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",10950891
"127","Guarea kunthiana","whole plant growth form","tree",NA,NA,-3.51667,-73.0667,NA,NA,"James S. MIller",NA,"public",13252158
"128","Guarea kunthiana","whole plant growth form","tree",NA,NA,-12.3636,-68.7996,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13263033
"129","Hasseltia floribunda","whole plant growth form","tree",NA,NA,-14.3667,-67.55,NA,NA,"Saara J. DeWalt","sdewalt@rice.edu","public",13314929
"130","Croton schiedeanus","whole plant growth form","tree",NA,NA,13.35,-81.3667,NA,NA,"James S. MIller",NA,"public",13326455
"131","Croton schiedeanus","whole plant growth form","tree",NA,NA,9.58,-84.577,NA,NA,"James S. MIller",NA,"public",13350055
"132","Croton schiedeanus","whole plant growth form","tree",NA,NA,10.4565,-84.0681,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",13384740
"133","Guarea kunthiana","whole plant growth form","tree",NA,NA,3.63333,-53.2,NA,NA,"James S. MIller",NA,"public",13398310
"134","Guarea kunthiana","whole plant growth form","tree",NA,NA,-4.53333,-79.7333,NA,NA,"James S. MIller",NA,"public",13414755
"135","Vismia baccifera","whole plant growth form","tree",NA,NA,10.432,-84.0348,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",13439990
"136","Trema micrantha","whole plant height","4.572","m",NA,17.734986,-64.622937,NA,NA,"Greg Reams",NA,"public",19598831
"137","Guarea kunthiana","minimum fruit length","15","mm",NA,NA,NA,NA,NA,NA,NA,"public",2031739
"138","Laetia procera","diameter at breast height (1.3 m)","43.1","cm",NA,-2.4313394,-59.794235,NA,NA,"Eduardo Eler",NA,"public",16045997
"139","Avicennia germinans","inflorescence length","6.5","cm","value is either the mean or maximum",NA,NA,NA,NA,NA,NA,"public",2029971
"140","Trema micrantha","whole plant woodiness","woody",NA,NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.63q27.2","Zanne AE","aezanne@gmail.com","public",15790979
"141","Hasseltia floribunda","diameter at breast height (1.3 m)","14.1999998092651","cm",NA,-15.25,-67,NA,NA,"Tim Killeen",NA,"public",4403175
"142","Pausandra trianae","diameter at breast height (1.3 m)","5.1","cm",NA,-12.4258,-69.2923,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",5194694
"143","Avicennia germinans","whole plant height","2.1336","m",NA,27.559864,-82.616093,NA,NA,"Greg Reams",NA,"public",7701882
"144","Pausandra trianae","diameter at breast height (1.3 m)","8","cm",NA,-13.5833,-68.7667,NA,NA,"James S. MIller",NA,"public",10718676
"145","Guarea kunthiana","diameter at breast height (1.3 m)","6","cm",NA,-24.1333,-55.5333,NA,NA,"James S. MIller",NA,"public",12899040
"146","Laetia procera","diameter at breast height (1.3 m)","0","cm",NA,10.4054,-84.102,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",12981601
"147","Croton schiedeanus","diameter at breast height (1.3 m)","8","cm",NA,13.35,-81.3667,NA,NA,"James S. MIller",NA,"public",13021176
"148","Laetia procera","whole plant growth form","tree",NA,NA,10.4143,-84.1045,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",13291683
"149","Guarea kunthiana","whole plant growth form","tree",NA,NA,-4.53333,-79.7333,NA,NA,"James S. MIller",NA,"public",13292449
"150","Laetia procera","whole plant growth form","tree",NA,NA,10.4565,-84.0681,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",13315234
"151","Vismia baccifera","whole plant growth form","tree",NA,NA,10.432,-84.0348,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",13439991
"152","Vismia baccifera","whole plant height","0","m",NA,10.4554,-84.0659,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",14316089
"153","Hieronyma alchorneoides","leaf nitrogen content per leaf dry mass","16.7","mg.g-1","Canopy N% was estimated with the Carnegie Airborne Observatory Airborne Taxonomic Mapping System (CAO-AToMs) onboard a Dornier 228 Aircraft. The sensor configuration used consisted of a high-fidelity imaging spectrometer (HiFIS) and a dual laser, waveform light detection and ranging (LiDAR) sensor.",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.ck585","Balzotti CS","cbalzotti@carnegiescience.edu","public",15396983
"154","Croton schiedeanus","diameter at breast height (1.3 m)","14.6","cm",NA,10.3165889374713,-84.0472783927857,NA,NA,"VG-VB-9",NA,"public",25323435
"155","Hieronyma alchorneoides","whole plant growth form","Tree",NA,NA,NA,NA,NA,NA,NA,NA,"public",2061063
"156","Hasseltia floribunda","diameter at breast height (1.3 m)","10.6999998092651","cm",NA,-15.25,-67,NA,NA,"Tim Killeen",NA,"public",138698
"157","Laetia procera","diameter at breast height (1.3 m)","124","cm",NA,-12.85,-69.28,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",2277570
"158","Avicennia germinans","diameter at breast height (1.3 m)","31.496","cm",NA,25.927003,-81.588437,NA,NA,"Greg Reams",NA,"public",1333228
"159","Avicennia germinans","diameter at breast height (1.3 m)","12.954","cm",NA,18.447325,-65.964736,NA,NA,"Greg Reams",NA,"public",2233247
"160","Pausandra trianae","diameter at breast height (1.3 m)","2.5","cm",NA,-14.6333,-62.6167,NA,NA,"James S. MIller",NA,"public",5648055
"161","Acalypha diversifolia","diameter at breast height (1.3 m)","2.5","cm",NA,12.3,-85.4,NA,NA,"James S. MIller",NA,"public",6548723
"162","Trema micrantha","whole plant growth form","tree",NA,NA,-3.43367,-72.8446,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13300619
"163","Gordonia fruticosa","whole plant growth form","tree",NA,NA,-15.9167,-67.5833,NA,NA,"James S. MIller",NA,"public",13313997
"164","Pausandra trianae","diameter at breast height (1.3 m)","2.5","cm",NA,8.7,-83.55,NA,NA,"James S. MIller",NA,"public",10639749
"165","Trema micrantha","diameter at breast height (1.3 m)","3.556","cm",NA,17.732732,-64.667391,NA,NA,"Greg Reams",NA,"public",12673704
"166","Guarea kunthiana","whole plant growth form","tree",NA,NA,-3.43333,-72.85,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13449119
"167","Hasseltia floribunda","whole plant growth form","tree",NA,NA,-13.6667,-68.2,NA,NA,"Saara J. DeWalt","sdewalt@rice.edu","public",13458022
"168","Laetia procera","whole plant height","0","m",NA,10.4054,-84.1211,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",14455510
"169","Avicennia germinans","diameter at breast height (1.3 m)","3.048","cm",NA,17.927807,-66.247674,NA,NA,"Greg Reams",NA,"public",18758446
"170","Trema micrantha","whole plant height","3.6576","m",NA,17.748067,-64.631551,NA,NA,"Greg Reams",NA,"public",21091086
"171","Pausandra trianae","diameter at breast height (1.3 m)","21.1","cm",NA,10.3167431760818,-84.0468609566593,NA,NA,"VG-VB-9",NA,"public",10595765
"172","Hasseltia floribunda","diameter at breast height (1.3 m)","2.8","cm",NA,-14.3667,-67.55,NA,NA,"Saara J. DeWalt","sdewalt@rice.edu","public",2830784
"173","Pausandra trianae","diameter at breast height (1.3 m)","3","cm",NA,-12.5833,-69.15,NA,NA,"James S. MIller",NA,"public",2495027
"174","Pausandra trianae","diameter at breast height (1.3 m)","140","cm",NA,-3.43367,-72.8446,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",4072017
"175","Guarea kunthiana","diameter at breast height (1.3 m)","3","cm",NA,-12.6107,-69.0178,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",4523005
"176","Avicennia germinans","whole plant height","14.6304","m",NA,25.927003,-81.588437,NA,NA,"Greg Reams",NA,"public",5071412
"177","Avicennia germinans","whole plant height","6.4008","m",NA,25.909145,-81.654564,NA,NA,"Greg Reams",NA,"public",5264985
"178","Laetia procera","diameter at breast height (1.3 m)","22.9","cm",NA,10.4568,-84.0631,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",6662249
"179","Pausandra trianae","whole plant growth form","tree",NA,NA,-12.0361,-69.0987,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13261032
"180","Pausandra trianae","whole plant growth form","tree",NA,NA,-12.0321,-69.1042,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13261037
"181","Avicennia germinans","whole plant height","7.0104","m",NA,26.003054,-81.719677,NA,NA,"Greg Reams",NA,"public",7823004
